0
살아가는데 힘들고 이해는 되지만~~ 그렇다고 그렇게 무서운일은 현실에서 없어야 허는맘이네요~~~슬프지만 그렇다고 그렇게 잔인하게~~~병적인 영화는 시로요~~ㅠㅠ
너무너무 좋았습니다ㅠㅠ
계단 씬이 장난아니었어요
영화가 좀 찜찜했지만 주연 배우가 성범죄자라는게 더 찜찜
재밌긴한데 생각만큼은 아니었음...소름돋는 부분이 없진않은데 캐릭터에 대한 몰입보다는 분위기와 음악으로 인한게 컸음
연기 잘하네요 처음 웃음이 거슬렸던 이유 중간에 웃음이 조금 더 하이 톤이 된 이유 마지막 웃음 모든게 극의 흐름과 관계 있다니... 극에서 말하는 하층민들이 웨인가문을 어떻게 바라보는 지 또한 그 들의 위선도 자세하게 보여주는 군요.
생각이 많아지는 영화인것같아요.
재미없네요 재미없네요..
띵작넘좋앗어용엉옹엉
괜히 봤어요 ㅠㅠ 보다 나가고 싶었음
다음 이야기가 궁금해지네요~
우울한 분위기와 주인공에 대한 섬세한 묘사가 돋보입니다 디렉팅한 감독과 조커역의 배우가 극한의 상황에 몰린 인간성을 표현하고자 애쓴 만큼 먹먹함을 느낍니다
우울한 분위기와 주인공에 대한 섬세한 묘사가 돋보입니다 디렉팅한 감독과 조커역의 배우가 극한의 상황에 몰린 인간성을 표현하고자 애쓴 만큼 먹먹함을 느낍니다
보고나면 기분 이상해요...
기대한것 보단 그냥 그랬어요.
기대하고봤는데 중간까지는 흥미진진하게 봄 그 후부터는 뭐지.. 끝나고나면 감동도 재미도 남는것도 없이 정신소모만 함. 연기력과 카메라는 100점. SNS에서 너무 추켜세운듯(?)
생각보다는 별로 너무 지루했음
너무 자극적이고 잔인해요
대박조와요 연기 정말정말 좋아요
호아킨 피닉스의 조커. 어디까지가 망상이고 현실일까
잘봤어요잘봤어요!!
생각보다 재미있었어요.
미국에서 봤으면 밖에 못 돌아다녔을 듯
배우!연기력 굿!굿!
