,user_id,review,score
41,영이(hanm****),자스민의 speechless...저도 용기와 모험의 삶으로 계속 살아가겠습니다♡ 그리고 아그라바를 여행한 것같은 황홀한 경험을 갖게해줘서 너무 좋아요~,10
42,요를레이(ulal****),어제 시사회로 보고 왔는데 어릴적 봤던 만화영화 ost 들 많이 나와서 진짜 너무 좋았습니다 ㅜ 미녀와야수 리메이크 버전보다 훨씬 재미있게 봤어요 일단 음악들이 신나서 좋음 강추~~,10
43,보노보노(skbj****),다 아는 스토리라 진부할까 걱정했는데..걱정은 기우였었다 ..지니와 아부 캐릭터가 슈퍼캐리하고  디즈니의 파워를 느낄수 있는 비주얼과 음악에 상당한 만족감을 느낄수 있었다,10
44,오렌지하늘(wjdt****),"오늘밤 꿈에서 다시 봤음 좋겠다. 주인공들, 아그라바의 풍경, 그리고 순간순간의 장면들, 귀를 홀리는 음악등 모든 것이 너무나 아름다운 영화.",10
45,ddung(ddun****),"관람객


														
															
															
																알라딘 만화 팬으로서 큰 기대는 안했는데...정말 최고네요!!! 이렇게까지 잘 만들었을 줄이야....자스민은 역대급입니당!!",10
46,명성황후(midh****),누가 미스캐스팅이라 했냐? 윌 스미스 아니면 누가 해? ㅋㅋㅋ 아 너무 재밌었다,10
47,율(tyty****),쟈스민 빡칠때 나오는 노래 개좋습니다                speechless,10
48,힌토끼(wjdg****),자스민과 알라딘이 양탄자 타고 노래부르며 날던 장면이 잊혀지질 않아요.. 갑자기 울컥했음ㅠㅠ 동심으로 돌아간 느낌들어서.. 진짜 동화속에서 한편의 뮤지컬 찍고온 느낌이에요. 자스민 알라딘 윌스미스 그리고 자스민하녀까...,10
49,미서(good****),개봉 조조로 보고옴. 믿고보는 디즈니. 지니 실사도 괜찮았음! 음악은 말할것도 없고.,10
50,애리(jang****),난 어벤져스보다 재밌는것같아....아직도 설레는 이 기분,10
51,없음(kera****),미술 연출 소품 모두 화려함의 극치를 보여줍니다. 늘 그랬듯이 디즈니의 모든 기술과 자본을 때려박았습니다. 알라딘 지니 자스민 술탄 양탄자 빌런 심지어 라킴까지 존재감 발산함. 그리고 자스민 진짜이쁨,10
52,iyj(trea****),볼때는 지니가 강렬했는데 보고난뒤 남주가 계속 생각난다는? 뭐지뭐지.. 뭔가 매력적임~ 굉장히 보면볼수록 캐릭터 찰떡이었음~ 굉장히 날렵하면서도 선해보이면서 약간 빈곤해 보이는것까지 억지스러운면이 일도 없었음.. 진...,10
53,하롱(lyua****),알리왕자뭐임...존잘..춤추는거도..와..,10
54,taij****,22편을 다봐야 이해되는 어벤져스 엔드게임보다 아무생각없이 즐길수있는 이런 환상스런 영화가 나한테는 잘 맞는거 같다..,10
55,mcto****,"관람객


														
															
															
																대박이 날듯 싶네 ㅋㅋㅋㅋ 비주얼이 상상이상임돠!!",10
56,Gnoy(kimy****),"90년대생인 나,일요일아침 디즈니만화동산을 눈비비면서 보던 시절이 생각났다.",10
57,Kate Kyoungjin Lee(rogu****),"행복한 느낌이라는 평이 많은데 진짜 그럼. 단체엔딩씬 보면서 나도 같이 행복하고, 뭔가 가슴이 먹먹하고 헤어지기 싫은 그런 느낌...? 왠지 모르겠음 어린시절을 다시 만나 헤어지기 싫은 느낌 같은건가. 근데 추억 없...",10
58,돌고래(uiop****),내가 영화를 보고 평점을 남기는 사람이 아닌데진짜 너무 재미있었고 지루하지  않았음 이번에 본 영화중 짱임 뭐볼지 고민한다면바로 알라딘아무도 안본사람 없었으면 좋겠음,10
