user_id,review,score
비린내나는부둣가를(rock****),"여주 이쁘고 매력있다, 쫌 지루하고 유치하다 영화는 해피엔딩으로 끝나지만 현실에서 이런식으로 썸타다가 서로에게 서운해져서 끝나는 남녀 엄청 많다",6
alps****,이보다 식상할 수 있을까?,6
하림(bibl****),너무 재밌음 저스틴 팀버레잌인줄은 몰랏네,9
rryy(seek****),진짜 로맨틱코메디의 정석ㅋㅋㅋ,9
1078(hepi****),평점 왜이리 낮지? 진짜 재밌게 봤는뎈ㅋㅋㅋ 짧고 굵음 인생영화,10
레어리(lees****),Mila Kunis !!!,9
졔졔(zeze****),투닥투닥 대화하는 장면들이 제일 귀엽고 예쁘다 친구같은연애를 보여주는 대표적인영화. 질투를 느끼고 머리가 복잡해지면서 결국 이감정이 사랑이라는걸 알게되는 뻔하지만 공감되는 내용의 기분좋은영화. 개인적으론 평점9.2 ...,10
핑크러브(timo****),이런 영화 너무 좋음 ㅎㅎㅎ,10
dmsq****,별기대 안하고 봤는데 너무 재밌다. 캐릭터들도 정말 매력적이고 시간 가는 줄 모르고 봄ㅋㅋ,9
qlsr****,티비에서해주길래봤는데 꿀잼ㅋㅋㅋ이런게로멘틱코미디지ㅋㅋㅋ,9
조한나(jona****),my favorite,10
뽀라리(kina****),이런거짱좋음ㅜㅜㅜㅜ,10
clan****,꿀잼ㅋㅋㅋ 재미따진짜!!,10
규원사화(hamj****),뻔하디 뻔하지만 즐거운 1시간 반의 시간,8
수(luna****),킬링타임으로 보기 좋아요!,8
pera****,로코 재밌게 본적이 없는데  이 작품은 50대인 여자가 봐도 너무 재밌네요.  오랜만에 혼자 웃으면서 봤어요. 강추,9
ㅑㅑ(kp18****),진짜웃김ㅋㅋ 미국코메디답지 않은 유머. 배경인 뉴욕 명소 구경하는 재미도 쏠쏠. 세번봐도 잼,10
영자(yhch****),간만에 본 멜로영화중 최고 ㅋㅋ,10
철사마님짱(exvn****),로맨틱코메디로서는 명작중 하나 평점 조정!,10
이재인(wodl****),첨엔 전개도 빠르고 그냥 그랬는데 뒤로갈수록 좋음ㅎㅎ 저스틴 자연스럽게 연기 잘하네요ㅋㅋㅋㅋ,9
클로이드(subi****),완전 달달 ㅋㅋㅋㅋ..,10
그으래(kyuw****),재밌게 웃으면서 봄 ㅋㅋㅋㅋ,9
소담담(riri****),로맨틱 코매디 좋아하시면 아주아주 강추합니다:) 허니잼!,10
kelly(poro****),우선 주연여배우가 너무 섹시하고 닮고싶을정도로 목소리가 너무 매력적이였어요.. 글구 남주랑도 환상의.콤비.. 글구 내용도 너무 현실적이네여..,10
ㅇㅇ(jwso****),왜 이저서야 봤는지 모르겠을만큼 재밌었다,10
Rachelle(rach****),저스틴이 정말 큐트하게 나온 영화. 밀라 쿠니스 캐릭터도 상당히 좋았다. 캐릭터 궁합이 영화을 더 감칠맛나게 해준 것 같음^ㅡ^ 즐겁고 재밌게 보았습니당,10
냠냠이(eimi****),평점에 비하면 재밌고 유쾌하다!!,9
kjm2****,질리지 않고 굳굳 여주 너무 매력적이에요,10
shou****,결말은 보이지만 충분히 재밌는 로코!!!,8
김먹경(andy****),오랜만에 찡하네,10
dldn****,진짜  제가 본 영화중 최고에요,10
Planet J(blue****),앞의 앞이 보이지만 눈을 뗄 수 없는 매력을 가지고 있다..,7
지터(maxd****),생각날때 찾아보게되는 로맨틱 코메디 영화! 참 좋아요 봐도봐도 정말!,9
붐붐이(ksk5****),여자가 이쁘니 영화도 재밌구나,9
qudtlsdk(lsa4****),저스틴 짱짱,8
esma****,정말 뻔한 영화.. 저스틴 이름값이 아깝다 이누마,1
임혜빈(lkjy****),재밌다,10
ㅎㅎㅎㅎ(wlst****),잼따!,9
sckc****,배경과 ost가 좋았던 영화,8
차선변경(snzi****),"시대차이가 덜 느껴지는 한계가 딱 9,10년 정도 되나보네요  비록 제목부터 소품, 플래시몹까지 시대상이 반영된  영화지만 밀라쿠니스 매력이나 팀버레이크의 점프는 영원히 남을듯",10
몬(moni****),미쿡..뉴욕 구경 잘했어요,8
웃자(priz****),볼거 없어서 봤는데 이렇게 재밌을줄이야,8
1cm(gusd****),가장 좋아하는 영화입니다?♀?,10
토토짱(dyst****),일상을 공유하는데다 몸을 섞는데 친구가 될 수 있을리가..  역시 남녀 생각하는게 다르다는 것도 공감. 부가적으로 뉴욕 여행 뽐뿌오는 영화.,8
윤경짱(meso****),유치하고 유치하지만 주인공들 매력으로 멱살잡고 끌어올리는영홬ㅋ 저스틴 너무사랑스럽쟈나,8
jerr****,재밌고 지금 봐도 세련됨,10
lis5****,개재밌음 ㅋㅋㅋㅋ꿀잼,10
ggab****,재밌어요!!! 또봐야지,10
강래민(rhff****),진짜 너무 재밋게 본 영화!!,10
dhk(wkdm****),밀라 쿠니스 정말 매력있군요,10
지비(glay****),아 꿀잼!! 생각없이 보기 좋음..보드를 좋아하는 사람으로써 숀화이트도 반가웠고ㅋㅋㅋㅋ,10
포대화상미륵존여래불(baks****),헐리우드(HOLLY WOOD)입간판글자중에서 첫번째 오(O)에 무단으로 올라갔다가 헬기를 타고 진압해오는 LAPD(엘에이 경찰)에 고소공포증인 남자주인공이 글자위에서 뛰어내리지 못하고 결찰헬기에 밧줄로 묶여서 담요에...,10
강따이호우(sunr****),진심 꿀잼 ㅋㅋㅋ 자잘한 개그코드가 많네요 그래서 더 재밌게본듯,10
