user_id,review,score
jiho****,정말 재미없다..러닝머신 뛰면서 쿡티비 무료영화라고 해서 봤는데 1시간동안 재난은 커녕 그냥 별 쓰잘데기 없는 내용만 지껄이길래 꺼버렸다.물론 뒤에 얼마나 감동적이고 스릴있는 장면이 나오는지는 모르겠는데애초에 초반부...,2
양현우(ksa2****),박평식 평론가가 점수 짜게 줬는데 아무도 뭐라 안한다=거르는게 맞다,4
ㅋ앗뇽(sj_j****),이민기때매 볼때마다 움.. 정말 그 약혼자라는 남자애 죽이고싶음.. ㅠㅠ,8
Pink love(mslo****),10년만에 다시 봤는대도 재밌네요~^^하지원 사투리가 ㅋㅋㅋㅋ좀 어색해도...,10
EJ6(skip****),샴푸 먹은거랑 이민기씬 빼고는 몽땅 쓰레기 ㅋㅋㅋ,4
심슨(wjdd****),이게 어째서 천만을 넘긴것인가;;,1
8888(uiui****),이민기 시계 끄를때 눈물이 줄줄 ㅠㅠ,10
레몬에이드(dnjs****),이민기 설경구 하지원 때문에... 박중훈은 연기 하지마라,4
flapsqk(eduj****),이민기가 연기 제일 잘하네 오랜만에다시 봤는데 이민기부분에서만 몰입되고 마지막은 울었다 다른부분은 대체로 짜증났음 사투리도 그렇고,7
현명함(poli****),타워보다 평점 낮내 심각하구만,6
그림형제(kjj0****),재난영화의 탈을 쓴 저질 코미디 신파영화,6
Lucky(unik****),이딴 쓰레기 국내삼류영화가 천만관객돌파했다는 건 미개한 국민수준을 보여준다,1
o0o1****,좀 허접한 부분도 있었지만 돈아깝다라는 생각은 안들었으므로..,8
JDH(jao5****),나도 진짜 멍청한 놈인게 이거 영화관에서 보고 눈물이 나더라고요. 진심 신파의 민족다운 영화,1
hukm****,머가 재미없다는거지? 극한직업같은   쓰레기도 천만이 넘었는대ㅡ,10
잡덕의 일상(vict****),재난비중과 재난에의한 몰입성이 너무낮아요.. 이게재난영화인가 싶고.. 저게 어째서1000만넘는관객이 봤니요?,1
노르웨이 숲(h9n5****),투모로우 보다 이거  보니  ㄱㅐ 쓰레기,2
tom(tom2****),설경구 = 믿고 거르면 배우,1
jung****,평점내리려고 쓴다. 클리셰범벅영화,1
헤븐(drea****),진짜 사투리 못봐주겠다 이민기 빼고는,1
kino****,박평식님이 영화안목 하난 확실하시다니깐.,2
싱가폴시민권획득(jiwo****),역대급 쓰레기 영화. 이 영화를 마지막으로 극장에서 한국 영화 안봄 ㅋㅋ,1
안태경(tkis****),후반부에서  계속 울었던 나는 진정 감수성부자재밌었다 나는...,8
안정욱(aju6****),신.파.신.파.신.파.표.절.표.절.표.절,1
허재(vain****),이따위 졸작이 천만을 넘겼다는 점에서 한국인들은 반성해야 된다,1
hee(hees****),이게천만영화....,1
곤두사메(redb****),내용면에서 괜찮았고 부산 해운대에서 펼쳐지는 모습을 좋았지만 하지원 설경구 김인문의 선방에도 다른 두 배우의 연기력 난조가 상당한 마이너스 요소가 됐던 작품,5
prof(newd****),우리나라 영화 기술이 많이 발전했다는 걸 알 수 있었지만 스토리가 아쉬운 면이 있다. 하지만 한국 재난 영화의 새로운 장을 열었다는 점에서 의의가 있다.,6
jjon****,한국블럭버스터영화의 전형적인스토리라인.볼만은하나 배우들의 어색한 사투린 애러,7
pupp****,"도입부가 너무 길고 후반부 쓰나미에서 상항,스토리 묘사가 약함.",5
ssvn****,그냥 뽀로로나봐라..그게 더 스펙타쿨하다..,1
민지(alsw****),사투리가 답이없음 이상해 여러분 부산사투리는 저런게 아닙니다,4
루이(loui****),초딩때봐서 그런진 몰라도 재밌었던 기억인 영화,10
cand****,정말 잘본 영화인거같네요,10
밍미링밍밍밍(mins****),이민기 짱짱 이민기 얼굴이 너무 재밋다,10
이현경(hkhk****),이민기가 왜 조연이냐 솔직히 이 영화는 이민기가 다 했는데...,10
12시즌샌프란시스코(aote****),쓰나미가 오는데 밑에 있던 사람들은 살고 옥상에 있던 사람은 죽었는데 뭔경우?,1
husbin(ghkd****),왜 7점이지 말이안되는 평점.,10
eoth****,장애인들왜이리많냐?솔직히씨지는우리가허접해도연기스토리는괜찮았로그리깔영화는아니라고보는데,10
qtr1****,뭐가 재밋다는거지,1
떡쿵이(sims****),지금보면 떨어지긴 해도 솔직히 이 시대엔 엄청난 재난영화 아닌가? 이정도면 잘한거지,6
강태일(gsh2****),재미는 별로지만 스토리나 재난 연출은 좀 괜찮았다!,7
김윤정(offi****),"사투리는 잘모르지만, 원가 서울사람이들어도 어색해서..사투리같은건 지역사람한테 지도받으면서 연기하면 어떨까싶고. 박중훈배우님은 연기하실때 톤에대해 연구를해보셔야할것같네요. 계속 한 톤으로 연기하시는 느낌이..",6
까망콩(eric****),재밌드만 보면서 오열을 했는데 OO..,10
ssk9****,이게 왜 천만영화인지... 에혀,1
쿠즈아(neck****),개봉때 재밌게 봐서 다시봤더니 연기 왜이래요.ㅋㅋ사투리도 그렇고...제가 뭐에 씌여서 재밌게 봤나봐요,3
sckc****,그래도 8점은 줄 수 있는 영화,8
아무관련없는데요(opre****),한국영화에 해가 되는 작품,1
dlxo****,박중훈 국어책 읽는 연기 정말... ㅠㅠ,7
롯데코미디언즈(riun****),캐스팅 실패라 봐야지...부산 출신 배우들이 얼마나 많은데 부산을 담은 영화에 억지 사투리라니...이민기 빼고 다 구역질...심지어 감독은 부산 출신...우웩,3
벵쇼(hamm****),이것이 그 말로만듣던 한국 코메디영화!내가 니 아빠다아~내가 니 아빠야아~~~에서 대폭소!!!!떼굴떼굴떽떼구르르르~~~~ㅜㅜ우리애가 여기있다구요 우리딸이 여기있어욧오~~!!...뭐 어쩌라구ㅡㅡ계속 뭔소린지도모를  끼...,4
조운(joun****),"스포일러가 포함된 감상평입니다. 감상평 보기

														
															
															
																쓰나미가 몰려오는 것, 정말 재미있었다.",8
황소희(jph3****),사투리 역겹고. 없던 암이 생길 지경,1
나나나(gree****),btv무료영화에 있길래 조금 봤는데요...10년 전 작품이라 그런가...유치해서 중간에 꺼버렸어요  ㅜㅜ지루해도 ...  재난 장면은 봐야지 ... 하면서 참고 봤는데 ㅎ넘 오글거리고 ㅜㅜ이거 왜 흥행한거예요?,2
rudt****,진짜 재난영화 보다가 본 사람 다 졸았음.빽빽거리는 소리지르는 탓에 ㅆ 1바 귀가 멍멍 하고 무슨 말인지 하나도 못알아듣겠고 그냥 영화 보는 내내 짜증+지루 함 이딴것도 영화라고,1
숩창리(coli****),하류인생들의 모험이 스토리고워 신파극은 ㅋㅋ 보너스고 근데 사투리는 한국 저질 이라는거 티내냐??,1
Roystar(star****),아.. B tv 무료영화길래 본 내가 잘못했다,3
pont****,시장좌판처럼 늘어놓은 부산자랑. 기존영화에서 마구잡이로 가져온 클리셰. 윤제균영화 특유의 짜증.,3
sang****,이딴 영화가 천만하니까 한국 영화계가 침체되고 질이 떨어지는거다,1
드레드킴(soso****),그당시에 이게 천만영화였는데...사람이던 영화던 때를 잘만나면 안될것도 되는것인가,1
화월(sonh****),한마디로 걍 망작. 학교 숙제땜시 봤는데 차라리 투모로우를 볼껄...,1
ㅁㄹ(park****),남주 목소리땜에 집중이 안됨...,2
황연화(hyho****),처음부터 끝가지 말이 안돼고 헐리우드 성공 작품을 배낀영화,1
보놉노(auio****),윗놈들의 안일한 태도그로 인한 인명피해언젠가 리얼 현실이 될수도..그땐 다들 잘 피하시길,7
royale접음(king****),모험영화라 그닥그럼. 천만갈건 아님,5
열렙중(phs1****),박평식말고는 제대로 평가한사람이없네 쓰레기같은영화,1
어제처럼(kjw3****),평을 쓰라고?.?.?.?,1
imsoyoung(tlsd****),저기 밑에분. 어렸을때 봐서 그런거에요. 저도 어렸을땐 재밌게 봤던 기억이 있습니다.. 지금 다시보니 걍 신파 한국영화더군요.,1
flar****,아니 무슨 한시간이상이 연애드라마야,1
이선우(jaco****),"말도 안되는 개연성에,각본,캐릭터 그리고 연출까지 잡아먹는 괴작중 괴작. CJ때문에 천만관객을 돌파한 영화",2
암사공고생(gbak****),에휴...진짜 답도 없는거같다 재난영화가 아니라 영화적 재난이다,1
유령여단(mink****),워터파크에있는 유아용파도풀수준임ㅡ.ㅡ 역시 천만영홬ㅋㅋㅋCG만거창하고::,2
긍정(woos****),재난 영화의 재미를 알려준 영화,9
꽥꽥이(bell****),"영화 장르가 모험인데, 영화 내용도 그냥 모험이었던 영화",6
노숫자(ch61****),박평식씨가 평점을 잘헀네,3
Hope(jhti****),하...진짜 이런 영화야말로 한국 영화의 질을 떨어뜨리는 공신이 아닐까..심지어 천만;;; 답답하다 답답해,1
이종무(ljm9****),아니 영화가 개노잼인게 일단 개연성도 없고 마지막에 내가 니아빠야는 뭐야 스타워즈냐??,1
공듀(grun****),갓냥이 박사모 미친....,1
해바라기(oooi****),거품 1000만 100만급,1
헤르츠(asai****),내가 두번다시 이 감독 영화는 안보겠다고 다짐한 영화,1
스파이크(burn****),대한민국은 쓰레기가 많다는걸 느끼게 해준영화,1
꼴통(woru****),놥이다.근으지욷뷔각,1
GrinBe(jjhg****),허... 이게 천만이나 됐구나...,1
chin****,기가막히네 역시 우리나라,1
하늘만큼땅만큼(atar****),게임 cg같아. 졸라 유치뽕,4
달의 빛 전사(dlae****),재미는 있었음 다만 좀 오글거림,7
werhmacht(woon****),이딴게 왜 천만영화 일까?,1
호랑이(dkre****),천만넘은 영화라해서 훌륭한 작품이 아니라는걸 제대로 알려준 영화 내돈.... 겁나 아깝다,1
하니(dugk****),재밋긴한데 그때만 재밋음 결론은 킬링타임용임,6
광(chlr****),난 재밌게 봤음 부모님이랑,10
백경림(whyr****),볼때마다 재미있는 영화임,9
내사랑디카프리오(kill****),그저 전부 다 진부하더라,6
현욱(rmag****),지금 생각해보니 이거만큼 스토리 억지스러운 재난영화가 없더라.솔직히 슬픈장면이 나한텐 어이가없어서 웃겼다,6
태돌술구(hell****),억지웃음 억지감동 환장의 콜라보,1
송성제(song****),좋긴좋은데 초반에 시간좀 끌지마라.,9
aksdsa(twee****),야라미내아뎌반이매라맨,10
the edge of mental(chlo****),이대호 선수 나온게 너무웃겼음,9
프리이니(free****),해운대스펀지에서 해운대를 봤다. 그래서 재밌었던 기억이... 물론 다시보라면 못본다.,6
조준영(jjy5****),솔직히 감독이 잘생각해야함 한국재난영화는 이래서 발전이없다?? 왜? 주인공이 죽어야 재밌지~~ 근데 이영화는 무조건 해피엔딩,2
FromJJ(orga****),돈 많이 들어간 삼류영화,1
클래빈(8385****),"지루하다 지루해. ""The Guardian"" 포함 해외 재난영화 어설프게 따라하고 어설픈 개그에 어설픈 슬픔...무엇보다 어마어마한 숫자의 네티즌들이 이 영화에 10점을 주고 간것이 가장 슬프다.",1
캣츠아이(cati****),그냥 너무 지루하네요. 긴장감 몰입도가 떨어집니다,5
lim9****,이 감독 영화는 언제나 허접하다. 이건 그나마 스케일은 있다,4
ckm9****,엄정화 2번죽이고 ㅋㅋ마지막에 빌딩옥상 있던 사람윽 다죽고 4층건물에 있는 사람은 살고 이해가 안됨ㅋ,1
용구(lsde****),이런 영화 ocn에서 왜하는거냐 하지마라처음에 나오는 할머니는 여전히 ㅈ같다,1
잠옴(nate****),천만 영화라 기대했는데... 이게 어떻게 1000만을 찍었지?,6
젤리밤(yunu****),이게 꼴에 재난영화라 올리고 꼴에 천만관객 돌파임?와 미쳤네 그냥 스릴은 커녕 감동이 전부인  영화 아니냐.,1
tifk****,재난영화 즐겨보는데 진짜 최악. 그당시 극장가서 안보길 잘했다ㅡㅡ 1시간15분만에 쓰나미 전조가 첨나옴 ㅋㅋㅋ뭐 그전까지 구구절절한 사연이 나온것도 아니고 술먹고 싸우고 야구장가고 ㅋㅋㅋ결국 중간에 점프햇다 극장가서...,2
feb4(beat****),박중훈빼고 다 죽어야 할 영화,5
세계수(lees****),난 이제와서 본건데 평범하게본듯했다.천만영화드립치는사람들은 댓글알바인가?,7
바보사람(rand****),지금와서 이 영화 평가한다는게 웃기다는 놈들아명작은 시간지나도 언제든 좋은평이 남는다진부하고 뻔한 스토리인거가 뻔한데그때당시 연출은 높은수준인데 스토리가 영..,5
integral(chog****),딥 임펙트 (1998),5
으잉누구(hion****),작년 일본 쓰나미를 메스컴으로 접하고 해운대를 보니 실제 쓰나미가 파도처럼 밀려오는 것이 혈실성이 떨어졌음. 재난영화면 재난상황이 더 많아야 하는데 너무 많은 에피소드를 배치하느라 시간을 허비함,5
paru****,딱 6점에 맞는듯,6
rlag****,의미가 없다...있다고 해도 너무 어렵...,4
buk3****,왜 한국영화는 무조건 코미디영화만을 추구할까?? 재난영화 라기보단 코미디영화에 더가까움 100분의 코미디+20분의 재난,7
yhci****,이게왜흥행작인지 모르겠음. 도입부 엄청길고 대사가 우리말인데도 못알아듣겠고..,6
dcts****,이런게 천만? 이게 재난영화? 억지사투리웃음유발. 디워는 그래픽이라도 빵빵했다.,6
dpsx****,사투리 심하게 거슬림 대채 뭐라고 하는건지 영화의 몰입을 확 깍아버림 ;;,5
5hye****,볼거리는 있지만...,4
kgs8****,쓰나미 기다리기까지 지루했다. 게다가 울화통 터지는 장면도 있어서 만점은 아깝다.,5
fffs****,"첫부분은 그닥인데 끝부분은 괞찬네요. 1,2점 주는 분들은 이해가 안되네요 그런데..",7
tuna****,1000만관객 돌파할만한 영화는 아니더라.,6
dlwj****,굳,10
oran****,굿,10
rlaw****,완전 재밋어!~~~,10
bbnm****,재밌는데 걍 쓰나미 내용,7
ilu9****,넘 좋아!!!!!!! 완전 1리터의 눈물 ㅠㅠ,10
namj****,재밌는데,8
reac****,너무나 재미 있게 봤습니다,7
bbq5****,대작,10
meta****,쓰레기,1
gion****,딱 이점수가 적당한듯,7
cws9****,너무 많이 죽인다. 그래야 눈물샘을 자극하기때문?,5
wayr****,그닥....,5
tndu****,대박 스릴 있당!!설마 실제로 일어난일??ㅋㅋㅋㅋㅋ,10
gnas****,재미드럽게 없는 것은 아니지만 천만감독이라고 나오는 윤제균의 멱살을 잡고 싶었다.,6
xorw****,수많은 곳에서 감동이 쉴새없이 터져나와 숨가쁜 감동을 즐겼다 다만 오직 감동뿐,8
pete****,감동 ㅜㅜ,10
dahy****,보면서 펑펑울었음,10
rain****,영화 좋았습니다. 감동이 살아있는 영화!,9
buki****,30년 넘게 경상도에서 산 토박이인데 배우들(특히 설경구) 사투리 거의 못알아먹음,1
jsj8****,왜 이 영화가 천만관객이 보게되었는지 참 의문입니다.......난 정말 지루하게본영화,6
ps54****,어색한연기를 보여주는분들이 몇몇 있어 살짝아쉽; 좀 슬퍼서 울었음 ...,7
abco****,대박재밌다,10
ppop****,중반부터 마음이 짠해지는 영화였습니다 하지만 대사전달이 좀 그렇네요.. 것빼곤 굳,7
audr****,볼만하네요,5
qjsr****,감동~,10
ball****,재난영화의 공식을 성실하게 따르는 한국형 블록버스터,5
cjfa****,재밌내요,10
kth2****,지금 까지 본 재난 영화중 워스트 3위 안에 꼽힐듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
jahu****,난 재미있던데..,10
doye****,짜임새 없는 전개에 어불성설..억지로 눈물샘 자극하는 요소들..,4
mast****,"스토리가 이게 뭐임 그리고 CG 그래픽이 뭐 이래, 감동도 아니고 코미디도 아니고..",4
dlru****,"잠깐 웃겼다가 잠깐 쓰나미 왔다가 잠깐 울리고, 재난 영화라 하기에는 부족한.",7
dkdl****,제2의 마이웨이 해운대라는 국민 공감대로 성공 그러나 그물코가 너무 크다.,6
chls****,한국 관객들의 수준을 여실히 들어내준 영화,4
horn****,이야! 이게천만이야!,6
vedd****,부산사투리...정말..듣기 싫다...대구와 더불어 무식한 걸로 용호상박.,1
qhdr****,축하,10
danb****,"대박,,,,,,,,,,,,,,,,,,,,,,, 아찔 완전 헐 엄청 재미있음",10
yskp****,재미있음^^,10
jshi****,가슴을 먹먹하게 하는 정말 멋진 배우들의 연기 였다. 절대 잊지 못할 영화 일 것이다,10
crui****,"기대가 크면 실망이 큰법, 감초연기덕에 사투리보는 맛은 있었다.",6
alst****,걍그렇다,5
jj27****,너무지루하고 재미가없다 그리고 태극기휘날리며가더재밌다,1
popo****,일본 재난영화는 쓰레기-- 눈이 있나?,10
ykw4****,매우 어설프다.. 일본 재난 영화는 이러지는않는데..,1
xorm****,내 친구는 이래서 한국영화 영화관에서 보면 안된다고 하드라...,3
ci30****,재난영화인데 뭔가  어설프다,6
reno****,시나리오의 부족한 지점을 대중의 감정과 방학이 메꾸다,4
pjyp****,cg를 떠나서 어설픈 시나리오 전개 뭔가 뚝뚝 끊긴다는 느낌.. 경악한 영화,5
ohfu****,지루한내용,6
eeee****,잼다,10
dufo****,"재미있긴 한데, CG처리가 병맛이다.",9
jms_****,CG너무;;;;;,1
