0
재밌어요
연기파들의 연기는 넘 좋았고 요즘 젊은 사람들의 연애관이나 흐름을 조금은 이해가 되네요 즐겁게 잘보았어요
친구와 보고왔는데 90년대 결혼한 저 젊은시절때의 연애관과 요즘 연애관을 비교할 수 있어서 좋았어요 저는 재밌게봤는데 고딩딸과 같이 봤으면 좀 그랬을까요? ㅎㅎ 15세는 좀 그렇네요.
재미있게 잘 봤습니다
그냥 쏘쏘. 엄청 현실적인것 같지는 않고 공효진이 예뻤어요! 나중에 DVD로 봐도 될 정도ㅠ
좋은 영화네요 잘 관람 했습니다
본받지 못할 30대의 연애와 그걸 잘 포장할려고 노력한 작품인거 같아요
킬링타임용이라고 하기에도 다소 지루한 감이 있음. 연애 및 직장생활 경험이 다수 있지 않고서는 공감하기 힘들 수도 있겠다고 느낌. 딱히 이렇다할 스토리도 없어서 연기력에 대해 말할 것도 없고
완전히 재미있어요! 덕분에 즐거운 하루 보냈어요!
가볍게 보기 좋았어요~ ㅎㅎ 공효진도 너무 이쁘고 둘의 케미가 잘 어울리는듯해요~
사람맘이 마음처럼만은 안돼서 찌질해 지는게 진짜 현실연애ㅠ 만15세 연애이야기영화에 굳이 초중딩자식 데리고와서 보고는 저속하니 낯뜨겁다니 하는건뭐임? 걍 연인.부부.친구사이만 보시길~
재밌게 웃고 왔습니다.. 김래원 공효진 케미 너무 좋아요
잘 보고 나왔는데 초등학등 둘이 보호자와 함께 보고 나오면서 재미있더란 말을 들으니 ...쩝쩝
킬링타임용으로 괜찮아요
그냥 볼만해요.
잘 봤습니다
결혼하고나니 공감이 잘 안되네 공효진 옷만이쁘더라~~~
재밌게 잘 봤어요. 그냥 가볍게 보기 좋아요. 공효진 귀걸이가 가장 기억에 남아요~
잘봤어요~
잼나요
찌질하지만 너무 공감되는 내용 잼있어요
직장생활에서도 연애에서도 공감이 많이 됐습니다. 30대로 넘어서는 분들이면 고개 끄덕이면서 보실듯
걍쏘쏘 2~30대만 재밌게보겠네요
재밌어요 웃기고 현실감있는 영화
리뷰를 너무 믿지 마라 (평점이 왜케 높은지 모르겠음)
시간가는 줄 모를 정도로 일상과 직장 그리고 사랑을 다뤄서 직장인으로서 몰입하기 쉬웠고 재미있게 그리고 해피엔딩도 마음에 들었다
재미있는 드라마 한편 본느낌!!! 웃끼고 잼나요
괜찮게 관람한 영화
시간가는줄몰랐어요 뀨르잼
웃으면서 봤어요 공감대형성되네요ㅋㅋ
보는내내 빵빵 터졋네요 현실에서 늘 가능한일
잼 나내요 굳
너무 재밌어요 공효진씨 김래원씨 너무 좋아요 ㅋ
잼나게 잘 봤어요.. 웃기고 공감되고~
전 웃기도 울기도하고 재밌게 봤습니다 내용은 그냥 그런데 배우들의 연기에 감탄했습니다
배우들의 연기가 좋았습니다.
딱 그 나이대의 연애를 보여준것 같아요. 기대 이상 꿀잼
꽁냥꽁냥
요즘 얘기
"알콩달콩, 할듯말듯 끝까지 꿀젬을 준 영화, 강추에요'"
"실제있을수있을법한 상황들이 와닿았구 서로 진심을 알아주는 감동적인.. 그리고 둘다 매력적인데,,김래원같은 남자 있음 좋겠다 ㅎ"
그냥 소소하게 잼있음 공효진 김래원 연기 잘하네
가벼운 웃음 유발하려고 무진장 애쓴 영화
공효진.김래원 너무조아요 ㅎ
"특별한 남자 재훈, 불쌍한 여자 선영"
재미있게 볼 수 있어서 좋았어요 ㅋㅋㅋ
"현실 연애 똥싸는 소리로 남자, 여자 구분할 순 없지 ㅋㅋ"
가볍게 관람하기 좋은영화인거 같습니다... 영화잘봤습니다...ㅎㅎ
너무 재밌게 봤네요~~
강기영씨가 좀 더 주목받는 영화가 될것같다
잼나요 지루하지 않고 재밌게 봤네요
현실적인 연애를 잘묘사하였답니다~
그냥..그래요..보통임
주변에서 있을법한 이야기. 딱히 재밌다고 말하기 뭐하지만 혼자 보기좋은영화
??
두번봤어요^^ 첫번째는 정신없이 웃느라 재미있게 두번째는 웃느라 집중못한장면 보며 또 웃음! 김래원♥♥♥
그냥
.
유쾌하게 잘 보았습니다. 김래원 공효진씨 극중에도 잘 어울리지만 실제 연인으로해도 너무 잘 어울릴거 같았어요~ 영화보는 내내 즐거웠고 두 분 너무 잘 어울려요~ 공효진씨 연기 정말 좋았습니다.
역대 로코물 중에 제일 웃깁니다ㅋㅋㅋㅋㅋㅋ
정말 소소한 보통 젊은이들의 보통 연애. 잠깐씩 웃긴 장면이 무겁지 않게 해준듯.
찌질하면서 현실적인 느낌?
김래원씨와 공효진씨의 케미가 좋았습니다 요즘 공블리의 전성시대가 다시 도래한 것 같네요 공효진씨의 연기는 언제봐도 질리지않고 좋습니다 ^^
이별과 연애를 재미있게 풀어낸 영화
러닝타임 길지않고 재미난 로코였습니다
재밌어요
기대만큼은 아닙니다~~현재 공효진씨 나오는 드라마가 휠 재밌네요 영화 짜임새가 약간 지루합니다~~
술...일...현실적인 영화? ㅋㅋ
연애 이게 현실
잼있어요
보통의 연애 그냥 소소히 관람했네요.
부담없이 재미있네요.
가장 보통의 연애
기대를 많이 해서 그런지 스토리가 아쉽네요 배우들의 연기력은 완벽했으나 가볍게 보기 좋은거 같아요.
김래원 공효진만이 풍기는 분위기가 물씬나는 영화^^!! 재미나게 봤어요~~
배우들 연기가 좋았어요
기대없이 보면 강추!
지루함없는 킬링타임용 강추
그럭저럭 볼만했어요~~
","
