movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20182063,내 엄마의 친구: 완숙한 육체를 탐하다,,2017,20180306,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('강정훈', ' ', ' ', ' ')","[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20171043,삼인행: 생존 게임,Three,2016,20180309,장편,개봉,"홍콩,중국","범죄,액션",홍콩,범죄,"('두기봉', ' ', ' ', ' ')",[]
20177485,노르마,Norma,2017,20180303,장편,개봉,미국,공연,미국,공연,"(' ', ' ', ' ', ' ')",[]
20181022,마이애미 드라이버,SIJI:DRIVER,2017,20180302,장편,개봉,미국,"범죄,드라마",미국,범죄,"(' ', ' ', ' ', ' ')",[]
20180601,위자 엑소시즘,THE OUIJA EXORCISM,2015,20180301,장편,개봉,미국,공포(호러),미국,공포(호러),"(' ', ' ', ' ', ' ')",[]
20189426,발칙한 동거 무삭제,,2017,20180301,장편,개봉,한국,,한국,,"('오재학', ' ', ' ', ' ')","[{'companyCd': '20154968', 'companyNm': '(주)로드하우스'}]"
20170343,프렌치 커넥션: 마약수사,The Connection,2014,20180330,장편,개봉,프랑스,"범죄,액션",프랑스,범죄,"('세드릭 히메네즈', ' ', ' ', ' ')",[]
20182337,사촌누나들,,2018,20180330,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이상민', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182343,두 부부의 정사,,2018,20180330,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이상민', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20177349,완전범죄: 키드냅,The Entitled,2011,20180329,장편,개봉,캐나다,스릴러,캐나다,스릴러,"('아론 우들리', ' ', ' ', ' ')",[]
20178322,"섹스 후, 5일간의 여행",Five Star Day,2010,20180329,장편,개봉,미국,드라마,미국,드라마,"('대니 버데이', ' ', ' ', ' ')",[]
20181401,룸싸롱 여대생들,,2018,20180329,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('조태호', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20167802,인투 더 나잇,Into the Night,2016,20180329,장편,개봉,한국,"다큐멘터리,드라마",한국,다큐멘터리,"('갈재민', ' ', ' ', ' ')","[{'companyCd': '20123217', 'companyNm': '(주)시네마달'}]"
20182529,레전드 워리어,Jinn,2014,20180328,장편,개봉,미국,스릴러,미국,스릴러,"('아즈말 자히르 아메드', ' ', ' ', ' ')",[]
20166024,더 월,The Wall,2016,20180329,장편,개봉,"노르웨이,아일랜드",다큐멘터리,노르웨이,다큐멘터리,"('데이빗 킨셀라', ' ', ' ', ' ')",[]
20172491,학생의 엄마 : 첫 섹스 하던 날 무삭제,,2017,20180328,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이상민', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20172473,친구엄마 : 참을 수 없는 날  무삭제,,2017,20180328,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이상민', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20173549,친구엄마 : 그녀의 밤기술 무삭제,,2017,20180328,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이상민', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182336,최신 유부녀 성노예,Hitoduma Sei Dorei An,2017,20180328,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('우스바시 수이', ' ', ' ', ' ')",[]
20182541,정사: 질투의 덫-무삭제판,,2017,20180328,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이민', ' ', ' ', ' ')","[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20183101,옆집 여자:처음엔 거부 나중엔 신음2,hurinnseikoui,2016,20180328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('토미 타로', ' ', ' ', ' ')",[]
20183087,스와핑:아내가 다른 남자와 하고 있다,Suwappinngu rabu-tomaranai yokubou,2016,20180328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('네지메 지로', ' ', ' ', ' ')",[]
20183088,발칙한 여자들:달아오른 옆집 여자와 친구 엄마,Hahano Kontakutorennzu,2017,20180328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('히로아키', ' ', ' ', ' ')",[]
20178986,누나친구 : 이혼하고 온 날 무삭제,,2017,20180328,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이상민', ' ', ' ', ' ')","[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182335,극강 성감 마사지의 쾌감,Wakaduma Chokyo Shigan,2017,20180328,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('우스바시 수이', ' ', ' ', ' ')",[]
20183102,관음증:옆집여자,Nozokaretai wakazuma,2017,20180328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('오데라 슌고', ' ', ' ', ' ')",[]
20176071,해피 어게인,The Bachelors,2017,20180328,장편,개봉,미국,드라마,미국,드라마,"('커트 보엘커', ' ', ' ', ' ')",[]
20182722,어린 여자: 맛있는 관음-무삭제판,,2018,20180327,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('이민환', ' ', ' ', ' ')","[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
