movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20185171,구멍:촉촉히 준비된 여자들,Yoxtukyuuhumannoonna,2016.0,20181220,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '후지모토 죠지'}],[]
20184726,맛있는 누나들,,2018.0,20181219,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강백호'}],"[{'companyCd': '20130184', 'companyNm': '스마일컨텐츠'}]"
20183705,알래스카 북극곰,,2018.0,20181213,장편,개봉,한국,"멜로/로맨스,드라마,코미디",한국,멜로/로맨스,[{'peopleNm': '윤중부'}],"[{'companyCd': '20174681', 'companyNm': '(주)마이애미미디어'}]"
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,2018.0,20181219,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '타카하시 와타루'}],[]
20184564,남의 아내,,2018.0,20181218,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,[{'peopleNm': '한동호'}],"[{'companyCd': '20174841', 'companyNm': '(주)가온콘텐츠'}]"
20182670,갈매기,The Seagull,2017.0,20181213,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '마이클 메이어'}],[]
20181009,강한 칼: 도도견혈,Brothers,2016.0,20181209,장편,개봉,중국,"드라마,액션,전쟁",중국,드라마,[{'peopleNm': '아감'}],[]
20170669,지금 만나러 갑니다,Be With You,2017.0,20180314,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이장훈'}],"[{'companyCd': '20139999', 'companyNm': '(주)무비락'}, {'companyCd': '20140755', 'companyNm': '(주)도서관옆스튜디오'}, {'companyCd': '20173761', 'companyNm': '(주)푸른나무픽쳐스'}]"
20178781,사라진 밤,The Vanished,2017.0,20180307,장편,개봉,한국,스릴러,한국,스릴러,[{'peopleNm': '이창희'}],"[{'companyCd': '20100123', 'companyNm': '(주)싸이더스'}, {'companyCd': '20124237', 'companyNm': '(주)엠씨엠씨'}, {'companyCd': '20062469', 'companyNm': '(주)더블앤조이픽쳐스'}]"
20182319,이혼한 여자동창,Wanna Fuck My Best Old Friend,2017.0,20181214,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '후지모리 다카야'}],[]
20184925,음란 병동:남편몰래 특별진료,huhuai,2017.0,20181214,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '나가에 타카미'}],[]
20184866,옆집소녀2-무삭제,,2018.0,20181214,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '성기만'}],"[{'companyCd': '20130184', 'companyNm': '스마일컨텐츠'}]"
20182318,아내의 섹시한 직장동료,Big Ass Subordinate,2017.0,20181214,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '다카사카 유타카'}],[]
20182238,새엄마는 현역 여대생,Stepmother Is University Student!?,2017.0,20181214,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '다카사카 미노루'}],[]
20184926,과부:애타는 몸,Wakantaikendan,2017.0,20181214,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '사노 B사쿠'}],[]
20162361,환절기,In Between Seasons,2018.0,20180222,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '이동은'}],"[{'companyCd': '20168488', 'companyNm': '명필름랩'}]"
20183971,정사 2018,,2018.0,20181213,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김이슬'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20184144,헬 페스트,Hell Fest ,2018.0,20181213,장편,개봉,미국,공포(호러),미국,공포(호러),[{'peopleNm': '그레고리 플로킨'}],[]
20183665,토마스와 친구들: 우정의 대모험,Thomas & Friends: Journey Beyond Sodor,2017.0,20181213,장편,개봉,영국,"애니메이션,어드벤처",영국,애니메이션,[{'peopleNm': '데이비드 스토튼'}],[]
20184106,은혼2: 규칙은 깨라고 있는 것,Gintama 2,2018.0,20181213,장편,개봉,일본,"코미디,액션",일본,코미디,[{'peopleNm': '후쿠다 유이치'}],[]
20183484,위시업,Status Update,2018.0,20181213,장편,개봉,미국,"뮤지컬,코미디,멜로/로맨스",미국,뮤지컬,[{'peopleNm': '스콧 스피어'}],[]
20183605,삼국-무영자,Shadow,2018.0,20181213,장편,개봉,중국,"액션,드라마",중국,액션,[{'peopleNm': '장예모'}],[]
20182672,데스티네이션 웨딩,Destination Wedding,2018.0,20181213,장편,개봉,미국,"코미디,멜로/로맨스",미국,코미디,[{'peopleNm': '빅터 레빈'}],[]
20182752,검은비: 악의연대기,,2017.0,20181026,장편,개봉,한국,액션,한국,액션,[{'peopleNm': '장유근'}],[]
20183288,헌터 킬러,HUNTER KILLER,2017.0,20181206,장편,개봉,미국,"액션,스릴러",미국,액션,[{'peopleNm': '도노반 마시'}],[]
20184235,위험한 유부녀들,Wakan,2016.0,20181125,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '후지모토 죠지'}],[]
20183638,세 번째 엄마 무삭제판,,2018.0,20181211,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '민이'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20184623,바람난 아내들2,,2018.0,20181211,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '장두만'}],"[{'companyCd': '20173401', 'companyNm': '(주)케이피에이기획'}]"
20183811,착한여자친구,,2018.0,20181210,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '장두만'}],"[{'companyCd': '20173662', 'companyNm': '에이원 미디어'}]"
20183825,시아버지는 음란 마초,Konoyohaotokotoonna,2016.0,20181210,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '후지모토 죠지'}],[]
20184731,하고 싶은 아내:내 아내와 해 주세요,Watasinotuma Woman zokusasetekudasai,2017.0,20181207,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '토미죠 타로'}],[]
20182235,친구 아내는 야한 가정교사,Yujin no Tsuma ha Dosukebe,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '베타 타카오'}],[]
20182314,초흥분 육체간호,Female Careworker for My Dad Is Preferred for Me 5,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '나베 아츠시'}],[]
20184743,직장상사와 몰래 한 섹스,Aekikoe,2017.0,20181207,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '토미죠 타로'}],[]
20182236,이성을 미치게하는 숙모님,Shinzoku-soukan Matsushima Aoi,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '사루 타카시'}],[]
20182315,언니의 애인은 내 첫사랑,Miss His Super Dick,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '후지타 하야오'}],[]
20182237,아게하의 나체공연,Naked theatrical company lurking desire,2017.0,20181207,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '사카키 히데오'}],[]
