movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20179223,20대 같은 40대 미시녀,62,일본,드라마,['미즈노 아사히'],['Asahi Mizuno'],['아사히'],[''],"['201681', '201681']","['(주)플라이어', '(주)플라이어']","['', '']","['배급사', '수입사']",['청소년관람불가']
20179241,여형사의 은밀한 수사,72,일본,"멜로/로맨스,드라마",['사토미 유리아'],['Yuria Satomi'],[''],[''],"['20114899', '20114899']","['(주)영진크리에이티브', '(주)영진크리에이티브']","['', '']","['배급사', '수입사']",['청소년관람불가']
20164421,어쌔신 크리드,115,미국,"액션,어드벤처,판타지,SF","['마이클 패스벤더', '마리옹 꼬띠아르', '아리안 라베드', '제레미 아이언스', '브렌단 글리슨', '마이클 K. 윌리엄스']","['Michael Fassbender', 'Marion Cotillard', 'Ariane Labed', 'Jeremy Irons ', 'Brendan Gleeson', 'Michael K. Williams']","['', '', '', '', '', '']","['', '', '', '', '', '']","['20100041', '20100041']","['이십세기폭스코리아(주)', '이십세기폭스코리아(주)']","['20th Century Fox Korea', '20th Century Fox Korea']","['배급사', '수입사']","['15세이상관람가', '15세이상관람가']"
20168545,세상의 모든 엄마와 딸들,92,미국,드라마,"['셀마 블레어', '수잔 서랜든', '샤론 스톤', '크리스티나 리치', '커트니 콕스', '미라 소르비노']","['Selma Blair', 'Susan Sarandon', 'Sharon Stone', 'Christina Ricci', 'Courteney Cox', 'Mira Sorvino']","['', '', '', '', '', '']","['', '', '', '', '', '']","['20062868', '20062868']","['(주)도키엔터테인먼트', '(주)도키엔터테인먼트']","['', '']","['배급사', '수입사']",['12세이상관람가']
20168324,반지의 제왕 : 반지원정대 (확장판),228,뉴질랜드,"판타지,어드벤처,액션","['일라이저 우드', '이안 맥켈런', '리브 타일러', '비고 모텐슨', '숀 애스틴', '케이트 블란쳇', '존 라이스 데이비스', '빌리 보이드', '도미니크 모나한', '올랜도 블룸', '크리스토퍼 리', '휴고 위빙', '숀 빈', '이안 홈', '앤디 서키스']","['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Christopher Lee', 'Hugo Weaving', 'Sean Bean', 'Ian Holm', 'Andy Serkis']","['프로도 역', '간달프 역', '아르웬 역', '아라곤 역', '샘 역', '갈라드리엘 역', '김리 역', '핍핀 역', '메리 역', '레골라스 역', '사루만 역', '엘론드 역', '보로미르 역', '빌보 역', '골룸/스미골 역']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20158370', '20142849', '20138935', '20139842']","['(주)디스테이션', '(주)영화사오원', '(주)비에이엔터테인먼트', '(주)라이크 콘텐츠']","['', '', 'B.A. Entertainment', 'Like Contents Inc.']","['배급사', '수입사', '제공', '공동제공']",['12세이상관람가']
20167127,너브,96,미국,"어드벤처,스릴러","['엠마 로버츠', '줄리엣 루이스']","['Emma Roberts', 'Juliette Lewis']","['', '']","['', '']","['2013216', '20155429']","['(주)박수엔터테인먼트', '(주)누보필림']","['Boxoo Entertainment  ', '']","['배급사', '수입사']",['15세이상관람가']
20060088,마이 캡틴 김대출,104,한국,"코미디,드라마","['정재영', '장서희', '조귀정', '신성민', '최종원', '박인정', '황인규', '임준혁', '박혜인', '김기훈', '김병식', '정찬주', '우영재', '최광민', '최동철', '박병철', '전주협', '임상운', '양중경', '양윤식', '이태영', '이정형', '양지웅']","['JUNG Jae-young', 'JANG Seo-hee', '', 'Sin Seong-min', '', '', '', 'Im, Jun-Hyuk', '', '', 'KIM Byeong-sik', '', '', '', '', '', 'JEON Joo-hyup', 'Lim Sang-woon', 'YANG Joong-kyeong', '', '', '', 'YANG Ji-woong']","['', '', '공사현장 드로잉 여', '추가 구조대원', '학교 수위', '골동품 사내들 ', '경찰견 조련', '추가 구조대원', '아기 지민 ', '장사장', '추가 구조대원', '추가 구조대원', '울산MBC기사 ', '추가 구조대원 ', '공사장 경비2 ', '포크레인 기사 ', '구조대원', '추가 구조대원', '대사 ', '추가 구조대원 ', '간호사 ', '구조대원 ', '형사1']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20100216', '20100427', '20101104']","['(주)진인사필름', '(주)스튜디오이쩜영', '(주)나이너스엔터테인먼트']","['ZININSA FILM', 'STUDIO 2.0', '9ers Entertainment']","['제작사', '배급사', '해외세일즈사']",['12세관람가']
20150966,사랑하기 때문에,110,한국,"코미디,멜로/로맨스","['차태현', '김유정', '서현진', '박근형', '선우용녀', '성동일', '배성우', '임주환', '김윤혜', '오나라', '김사희', '장도윤', '김강훈', '박예진', '이창희', '박지수', '박지윤', '박지윤', '정보연', '이상희', '이재우', '김정우', '박미현', '조달환', '김선일']","['CHA Tae-hyun', 'KIM You-jung', 'SEO Hyeon-jin', 'PARK Keun-hyong', 'SEONWOO Yong-nyeo', 'SUNG Dong-il', 'BAE Sung-woo', 'IM Ju-hwan', 'KIM Yoon-hye', 'OH Na-ra', '', '', '', '', '', 'PARK Ji-su', 'PARK Ji-yoon', 'PARK Ji-yoon', '', '', '', '', '', 'CHO Dal-hwan', 'GIM Sun-il']","['이형', '스컬리', '현경', '할배', '할매', '박형사', '안여돈', '찬영', '말희', '박형사 아내', '다인', '요셉', '박형사 아들', '말희짝', '오디션 남심사1', '할매며느리', '라디오 DJ', '뉴스 아나운서 목소리', '산부수술간호사', '학교 경비', '오디션 진행FD', '체육선생님', '여학생1', '택시기사', '작곡가2']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20062097', '20100932', '20100932', '20142968']","['(주)에이디사공육', '(주)넥스트엔터테인먼트월드(NEW)', '(주)넥스트엔터테인먼트월드(NEW)', '(주)콘텐츠판다']","['AD406', 'Next Entertainment World', 'Next Entertainment World', 'CONTENTS PANDA']","['제작사', '배급사', '제공', '해외세일즈사']",['12세이상관람가']
20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,94,일본,"애니메이션,어드벤처,판타지,가족",[],[],[],[],"['20142048', '20062956']","['(주)이수C&E', '(주)포켓몬코리아']","['', '']","['배급사', '수입사']",['전체관람가']
20163183,로그 원: 스타워즈 스토리,133,미국,"액션,어드벤처,판타지,SF","['펠리시티 존스', '디에고 루나', '매즈 미켈슨', '리즈 아메드', '포레스트 휘테커', '견자단', '알란 터딕', '강문']","['Felicity Jones', 'Diego Luna', 'Mads Mikkelsen', 'Riz Ahmed', 'Forest Whitaker', 'Donnie Yen', 'Alan Tudyk', 'Jiang Wen ']","['', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']","['20161801', '20161801']","['월트디즈니컴퍼니코리아 유한책임회사', '월트디즈니컴퍼니코리아 유한책임회사']","['The Walt Disney Company Korea', 'The Walt Disney Company Korea']","['배급사', '수입사']","['12세이상관람가', '12세이상관람가']"
