movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20149055,무사 노보우: 최후의 결전,145,일본,"전쟁,드라마","['노무라 만사이', '에이쿠라 나나']","['Nomura Mansai  ', 'Nana Eikura']","['', '']","['', '']","['20136655', '20136655']","['스크린조이', '스크린조이']","['', '']","['배급사', '수입사']",['15세이상관람가']
19990126,리전에어,98,미국,"액션,어드벤처,전쟁","['장 끌로드 반담', '스티븐 버코프']","['Jean-Claude Van Damme', 'Steven Berkoff']","['', '']","['', '']","['20111762', '20111752', '20111753', '20100493']","['에드워드 알 프레스만 필름 코포레이션', '롱 로드 프로덕션', '퀘드라 엔터테인먼트', '(주)미주영화']","['Edward R. Pressman Film Corporation', 'Long Road Productions', 'Quadra Entertainment', '']","['제작사', '제작사', '제작사', '수입사']",['15세 미만인 자는 관람할 수 없는 등급 ']
20010157,북 오브 섀도우,93,미국,"공포(호러),스릴러","['킴 디렉터', '제프리 도노반']","['Kim Director ', 'Jeffrey Donovan ']","['', '']","['', '']",['20100666'],['엠브이넷'],[''],['수입사'],['18세관람가']
20149355,멀린 : 마법전사와 용의 기사단,91,미국,"판타지,액션,어드벤처","['사이먼 로이드 로버츠', '조셉 스테이시', '딜랜 존스']","['Simon Lloyd-Roberts', 'Joseph Stacey', 'Dylan Jones']","['', '', '']","['', '', '']","['20062868', '20062868']","['(주)도키엔터테인먼트', '(주)도키엔터테인먼트']","['', '']","['배급사', '수입사']",['12세이상관람가']
20149315,아이스 투모로우,88,캐나다,SF,"['폴 조한슨', '세바스찬 스펜스']","['Paul Johansson', 'Sebastian Spence']","['', '']","['', '']","['20136655', '20136655']","['스크린조이', '스크린조이']","['', '']","['배급사', '수입사']",['12세이상관람가']
20000322,레드 플래닛,102,미국,"SF,공포(호러),스릴러,액션","['발 킬머', '톰 시즈모어', '캐리 앤 모스']","['Val Kilmer', 'Tom Sizemore', 'Carrie-Anne Moss']","['로비 겔라거', '닥터 퀸 버체널', '케이트 보먼']","['', '', '']","['20101401', '20100043', '20100043']","['빌리지 로드쇼 픽쳐스', '워너브러더스 코리아(주)', '워너브러더스 코리아(주)']","['Village Roadshow Pictures', 'Warner Bros. Korea', 'Warner Bros. Korea']","['제작사', '배급사', '수입사']",['12세관람가']
20000194,식스티 세컨즈,113,미국,"액션,스릴러,범죄","['니콜라스 케이지', '안젤리나 졸리']","['Nicolas Cage ', 'Angelina Jolie']","['멤피스 레인스', '스웨이']","['', '']","['20101743', '20104180', '20101568']","['터치스톤 픽처스', '제리부룩하이머필름', '브에나비스타인터내셔널코리아']","['', 'Jerry Bruckheimer Films', 'Vuenavista International Kores']","['제작사', '제작사', '수입사']",['15세관람가']
20000032,배니싱 트윈,109,한국,"미스터리,스릴러","['지수원', '김명수', '구필우']","['JI Soo-won', 'KIM Myeong-su', 'KOO Pil-woo']","['유진', '진호', '아트러버']","['', '', '']",['20100020'],['와이투시네마(주)'],['Y2 Cinema'],['제작사'],['18세관람가']
20000172,서브웨이,104,프랑스,"범죄,스릴러","['크리스토퍼 램버트', '이자벨 아자니']","['Christopher Lambert', 'Isabelle Adjani']","['프레드', '엘레나']","['', '']",['20100665'],['네가'],[''],['수입사'],['15세 미만인 자는 관람할 수 없는 등급 ']
20000019,종합병원(천일동안),111,한국,드라마,"['신은경', '최철호', '진희경', '김승수', '유순철', '박길수']","['SHIN Eun-kyung', 'CHOI Cheol-ho', 'JIN Hee-gyeong', '', 'YOO Soon-chul', 'PARK Gil-soo']","['강은수', '박시완', '이승현', '김승수', '기식', '휠체어 환자']","['', '', '', '', '', '']","['20100506', '20101568', '20100506', '20000379']","['에이에프디에프', '브에나비스타인터내셔널코리아', '에이에프디에프', '누리엔터테인먼트']","['AFDF', 'Vuenavista International Kores', 'AFDF', '']","['제작사', '배급사', '제공', '제공']",['12세관람가']
20149410,스탠드업,96,멕시코,"코미디,멜로/로맨스","['조지 살리나스', '실비아 나바로', '페르난도 루한']","['Jorge Salinas', 'Silvia Navarro', 'Fernando Lujan']","['', '', '']","['', '', '']","['20110752', '20100842']","['(주)미디어데이', '알토미디어(주)']","['Mediaday', '']","['배급사', '수입사']",['청소년관람불가']
20149008,홈프론트-하드액션,100,미국,"액션,범죄,스릴러","['제이슨 스타뎀', '제임스 프랭코', '위노나 라이더']","['Jason Statham', 'James Franco', 'Winona Ryder']","['', '', '']","['', '', '']","['20122837', '20122497']","['(주)팝엔터테인먼트', '(유)조이앤컨텐츠그룹']","['Pop Entertainment', 'JOY N CONTENTS GROUP']","['배급사', '수입사']",['청소년관람불가']
20149285,코드 레드,93,미국,"공포(호러),액션","['폴 로건', '마날 엘-페이투리']","['Paul Logan', 'Manal El-Feitury']","['', '']","['', '']","['20112244', '20112244']","['(주)포커스엔터테인먼트', '(주)포커스엔터테인먼트']","['FOCUS Entertainment Co., Ltd.', 'FOCUS Entertainment Co., Ltd.']","['배급사', '수입사']",['15세이상관람가']
20149021,익스트랙티드,88,미국,"드라마,SF","['사샤 로이즈', '제니 몰렌', '도미닉 보가트']","['Sasha Roiz', 'Jenny Mollen', 'Dominic Bogart']","['', '', '']","['', '', '']","['20101156', '20139857']","['어뮤즈', '미디어브로스(주)']","['AMUSE', 'Mediabros']","['배급사', '수입사']",['15세이상관람가']
20149295,스마일리,95,미국,"공포(호러),스릴러","['케이틀린 제라드', '멜라니 페퍼리아', '쉐인 도슨', '앤드류 제임스 앨런']","['Caitlin Gerard', 'Melanie Papalia', 'Shane Dawson', 'Andrew James Allen']","['', '', '', '']","['', '', '', '']","['20100084', '20100084']","['㈜코리아스크린', '㈜코리아스크린']","['Korea Screen Inc.', 'Korea Screen Inc.']","['배급사', '수입사']",['청소년관람불가']
20149308,극장판: 타이거 앤 버니 -더 라이징-,100,일본,"애니메이션,액션",[],[],[],[],"['20101462', '20114672', '20114672']","['㈜T-JOY', '씨너스엔터테인먼트(주)', '씨너스엔터테인먼트(주)']","['', 'CINUS ENTERTAINMENT', 'CINUS ENTERTAINMENT']","['배급사', '배급사', '수입사']",['전체관람가']
20148795,미녀와 야수,113,프랑스,"판타지,멜로/로맨스","['레아 세이두', '뱅상 카셀']","['Lea Seydoux', 'Vincent Cassel']","['', '']","['', '']","['20100932', '20141154', '20100829']","['(주)넥스트엔터테인먼트월드(NEW)', '(주)영화사선', '예지림엔터테인먼트']","['Next Entertainment World', 'SUNPICTURES FILM', '']","['배급사', '수입사', '제공']",['전체관람가']
20148276,오기와 악동들 더 무비,85,프랑스,"애니메이션,코미디,가족",['문남숙'],['MOON Nam-sook'],['내레이션 '],[''],"['20122837', '20123058']","['(주)팝엔터테인먼트', '그린나래미디어(주)']","['Pop Entertainment', 'GREEN NARAE MEDIA']","['배급사', '수입사']",['전체관람가']
20148067,랑랑 라이브 인 런던,103,독일,공연,['랑랑'],['Lang Lang'],[''],[''],"['20123058', '20123058']","['그린나래미디어(주)', '그린나래미디어(주)']","['GREEN NARAE MEDIA', 'GREEN NARAE MEDIA']","['배급사', '수입사']",['전체관람가']
20148687,에너미,90,캐나다,"미스터리,스릴러","['제이크 질렌할', '멜라니 로랑', '사라 가돈', '이사벨라 로셀리니']","['Jake Gyllenhaal', 'Melanie Laurent', 'Sarah Gadon', 'Isabella Rossellini']","['', '', '', '']","['', '', '', '']","['20100631', '20100634', '20100634', '20100631']","['(주)영화사 진진', '(주)누리픽쳐스', '(주)누리픽쳐스', '(주)영화사 진진']","['JINJIN Pictures', 'NOORI PICTURES', 'NOORI PICTURES', 'JINJIN Pictures']","['배급사', '수입사', '제공', '공동제공']",['청소년관람불가']
20139402,연애의 기술,89,한국,"멜로/로맨스,코미디","['홍수아', '서지석', '한수아', '주아성', '성지영', '송윤아', '오승진', '이종우', '이진솔', '김명곤']","['HONG Soo-ah', 'Seo Ji-seok', 'HAN Su-a', '', '', '', '', '', '', 'KIM Myung-kon']","['', '', '', '', '호텔 식당 바 손님들', '회사 여직원들', '해산물 와인바 손님들', '김비서', '한스킨 직원들', '']","['', '', '', '', '', '', '', '', '', '']","['20063187', '20122497', '20122837', '20122497']","['㈜리필름', '(유)조이앤컨텐츠그룹', '(주)팝엔터테인먼트', '(유)조이앤컨텐츠그룹']","['LEE FILM', 'JOY N CONTENTS GROUP', 'Pop Entertainment', 'JOY N CONTENTS GROUP']","['제작사', '제작사', '배급사', '제공']",['청소년관람불가']
20149250,톰행크스의 일렉트릭시티,80,미국,"애니메이션,액션,드라마","['톰 행크스', '진 트리플혼']","['Tom Hanks', 'Jeanne Tripplehorn']","['', '']","['', '']","['20062868', '20062868']","['(주)도키엔터테인먼트', '(주)도키엔터테인먼트']","['', '']","['배급사', '수입사']",['15세이상관람가']
20112842,키스,121,한국,드라마,"['조윤미', '배현경', '김도영', '윤영민', '장효진', '이선희', '배현경', '김준원', '송유현', '김성현', '이새별', '바우', '김민규', '유지수', '정우준', '유지혜', '최현호', '안수현', '성열석', '서민성', '김두헌']","['', '', '', 'YOON Young-min', '', 'LEE Sun-hee', '', 'KIM Jun-Won', 'Song Yu-hyeon', '', 'LEE Sae-byeol', '', '', 'YU Ji-su', '', '', '', '', 'SUNG Yul-suk', '', 'KIM Doo-heon']","['', '', '', '행복한 오후 2시_수연 ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '박PD (목소리출연)']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20123604', '20062417', '20123604', '20137835', '20137836']","['(주)스푸키번치', '(주)마노엔터테인먼트', '(주)스푸키번치', '앨리스에프엑스', '인앤펌 회계 세무 컨설팅 ']","['', 'Mano Entertainment Inc.', '', '', '']","['제작사', '배급사', '제공', '공동제공', '공동제공']",['청소년관람불가']
20129332,반달곰,50,한국,드라마,"['최경준', '강연정', '박지성', '정보창', '신재혁']","['CHOI Kyung-june', 'KANG Yeon-jung', 'PARK Ji-sung', '', '']","['원석', '진희', '지성', '보창', '동욱']","['Won-seok', 'Jin-hee', 'Ji-seong', '', '']","['20100036', '20100036', '20100036']","['㈜인디스토리', '㈜인디스토리', '㈜인디스토리']","['INDIESTORY Inc. ', 'INDIESTORY Inc. ', 'INDIESTORY Inc. ']","['배급사', '해외세일즈사', '홍보사']",['15세이상관람가']
20123301,그 여자 그 남자의 속사정,102,한국,"멜로/로맨스,코미디","['정다혜', '연제욱', '서지석', '이상일', '한설아', '이춘성', '김훈', '정애화']","['JEONG Da-hye', 'YEON Je-wook', 'Seo Ji-seok', '', '', '', '', 'JUNG Ae-hwa']","['수정', '상철', '정수', '석태', '현주', '분수대 관리인', '루돌프', '슈퍼아줌마']","['Su-jeong', 'Sang-cheol', 'Jeong-su', 'Seok-tae', 'Hyun-ju', '', '', '']","['20126475', '20101156']","['모티브 필름', '어뮤즈']","['Motive Film', 'AMUSE']","['제작사', '배급사']",['15세이상관람가']
20127190,오하이오 삿포로,40,한국,"드라마,멜로/로맨스","['소이', '태인호', '김혜연', '박아름']","['So-yi', 'TAE In-ho', '', 'PARK A-REUM']","['모레', '히로', '여행사직원', '여공1']","['Mo-Re', 'Hiro', '', '']","['20101156', '20101156']","['어뮤즈', '어뮤즈']","['AMUSE', 'AMUSE']","['배급사', '해외세일즈사']",['전체관람가']
19990196,포스 오브 네이처,106,미국,"코미디,멜로/로맨스","['산드라 블록', '벤 애플렉']","['Sandra Bullock', 'Ben Affleck']","['', '']","['', '']","['20102885', '20111842', '20100472']","['드림웍스 SKG', '로스아놀드 프로덕션', '(주)제이콤']","['DreamWorks SKG ', 'Roth-Arnold Productions', '']","['제작사', '제작사', '수입사']",['15세 미만인 자는 관람할 수 없는 등급 ']
19990098,아름다운 사람들,107,영국,코미디,"['샤롯 콜먼', '로잘린드 아이레스', '린다 바셋']","['Charlotte Coleman', 'Rosalind Ayres', 'Linda Bassett']","['포티아 토른튼', '노라 토른튼', '']","['', '', '']",['20100487'],['(주)동숭아트센터'],[''],['수입사'],['18세관람가']
