movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20070465,블랙 달리아,120,독일,"드라마,미스터리,범죄","['조쉬 하트넷', '스칼렛 요한슨']","['Josh Hartnett', 'Scarlett Johansson']","[""드와이트 '벅키' 블레이처트"", '케이 레이크']","['', '']","['20061098', '20100604', '20100835']","['㈜스튜디오이쩜영', '(주)CM엔터테인먼트', '(주)토마스엔터프라이즈']","['', 'CM Entertainment', 'Thomas Enterprise']","['배급사', '수입사', '수입사']",['청소년관람불가']
20080660,바디,94,태국,공포(호러),"['아락 아몬수파시리', '오니라 람윌라이', '크리티라 인폰위지트']","['Arak Amornsupasiri', 'Ornjira Lamwilai', 'Kritteera Inpornwijit']","['촌라싯 ', '에이 ', '우사 ']","['', '', '']","['20100354', '20100419']","['㈜케이디미디어', '데이지엔터테인먼트']","['KD Media', 'Daisy Entertainment ']","['배급사', '수입사']",['15세이상관람가']
20090952,내니맥피 2: 유모와마법소동,109,미국,"가족,코미디,판타지",['엠마 톰슨'],['Emma Thompson'],[''],[''],"['20101382', '20101439', '20100603', '20100603']","['유니버셜 픽쳐스', '워킹 타이틀 필름', '유니버설픽쳐스인터내셔널 코리아(유)', '유니버설픽쳐스인터내셔널 코리아(유)']","['Universal Pictures', 'Working Title Films', 'Universal Pictures International Korea', 'Universal Pictures International Korea']","['제작사', '제작사', '배급사', '수입사']",['전체관람가']
20081536,오펄 드림,85,호주,"드라마,가족","['사파이어 보이스', '크리스찬 바이어스']","['Sapphire Boyce', 'Christian Byers']","['켈리앤 윌리엄슨', '애슈몰 윌리엄슨']","['', '']","['20100888', '20100419']","['(주)영화사구안', '데이지엔터테인먼트']","['', 'Daisy Entertainment ']","['배급사', '수입사']",['전체관람가']
20080556,스트레인저: 무황인담,103,일본,"애니메이션,액션,어드벤처","['치넨 유리', '나가세 토모야', '오츠카 아키오', '타케나카 나오토']","['Yuri Chinen', 'Tomoya Nagase', 'Akio Otsuka', 'Naoto Takenaka']","['코타로 ', '나나시 ', '아티도리 쇼겐', '쇼안 스님']","['', '', '', '']","['20100048', '20100048']","['미디어소프트', '미디어소프트']","['', '']","['배급사', '수입사']",['15세이상관람가']
20124778,로보트킹,67,한국,애니메이션,[],[],[],[],[],[],[],[],['연소자관람가']
20090320,블러드,86,홍콩,"액션,공포(호러),스릴러","['전지현', '코유키']","['Gianna JUN', 'Koyuki']","['사야', '오니겐']","['', '']","['20100123', '20100366']","['(주)싸이더스', '(주)코랄픽쳐스']","['Sidus Corporation', 'Coral Pictures']","['배급사', '수입사']",['청소년관람불가']
19828021,슈퍼 마징가 3,66,한국,애니메이션,[],[],[],[],['20102785'],['대광'],[''],['제작사'],['연소자관람가']
20124774,흑룡왕과 비호동자,68,한국,애니메이션,[],[],[],[],[],[],[],[],['연소자관람가']
20081454,언노운 우먼,119,이탈리아,"드라마,미스터리,스릴러","['크세니야 라포포트', '미첼 프라치도']","['Xenia Rappoport', 'Michele Placido']","['이레나', '무파 ']","['', '']","['20100109', '20100349']","['씨제이엔터테인먼트', '㈜세종커뮤니케이션스']","['CJ Entertainment', 'Sejong Communications']","['배급사', '수입사']",['청소년관람불가']
20124773,혹성 로보트 썬더 A,75,한국,애니메이션,[],[],[],[],['20101928'],['남양'],[''],['제작사'],['연소자관람가']
20090460,라르고 윈치,108,프랑스,"어드벤처,스릴러","['토머 시슬리', '크리스틴 스콧 토마스']","['Tomer Sisley', 'Kristin Scott Thomas']","['라르고 윈치 ', '앤 퍼거슨']","['', '']","['20111653', '20061787']","['(주)프라임엔터테인먼트', '(주)모션피아']","['Prime Entertainment', 'Motionpia Inc.']","['배급사', '수입사']",['청소년관람불가']
20081534,아빠의 화장실,98,우루과이,드라마,"['버지니아 멘데즈', '마리오 실바', '버지니아 루이즈']","['Virginia Mendez', 'Mario Silva', 'Virginia Ruiz']","['카멘 ', '발브리나 ', '실비아 ']","['', '', '']","['20100631', '20100631']","['(주)영화사 진진', '(주)영화사 진진']","['JINJIN Pictures', 'JINJIN Pictures']","['배급사', '수입사']",['12세이상관람가']
20090444,마법의 세계 녹터나,80,스페인,"애니메이션,어드벤처,가족,판타지,미스터리",['박지빈'],['PARK Ji-bin'],['팀 (한국어 목소리)'],[''],"['20100520', '20100366']","['롯데쇼핑㈜롯데엔터테인먼트', '(주)코랄픽쳐스']","['Lotte shopping Lotte Entertainment Co.,Ltd', 'Coral Pictures']","['배급사', '수입사']",['전체관람가']
20090429,마터스: 천국을 보는 눈,103,프랑스,"드라마,공포(호러),스릴러","['모르자나 아나위', '밀레느 잠파노이']","['Morjana Alaoui', 'Mylene Jampanoi']","['안나', '루시']","['', '']","['20100932', '20100285']","['(주)넥스트엔터테인먼트월드(NEW)', '판씨네마(주)']","['Next Entertainment World', 'Pancinema Corp.']","['배급사', '수입사']",['청소년관람불가']
20090428,나의 로맨틱 가이드,94,미국,"코미디,멜로/로맨스","['니아 발다로스', '리차드 드레이퍼스']","['Nia Vardalos', 'Richard Dreyfuss']","['조지아', '어브']","['', '']","['20100808', '20100808']","['(주)성원아이컴', '(주)성원아이컴']","['Sungwon I communications', 'Sungwon I communications']","['배급사', '수입사']",['15세이상관람가']
20080061,엘라의 계곡,120,미국,"범죄,드라마,미스터리,스릴러","['토미 리 존스', '샤를리즈 테론']","['Tommy Lee Jones', 'Charlize Theron']","['행크 디어필드', '에밀리 샌더스']","['', '']","['20101294', '20100251', '20100251']","['서미트 엔터티인먼트', '인터비스앤파트너스(주)', '인터비스앤파트너스(주)']","['Summit Entertainment', '', '']","['제작사', '배급사', '수입사']",['15세이상관람가']
20081281,황금철인,64,한국,애니메이션,[],[],[],[],['20060794'],['세기상사㈜'],[''],['제작사'],['전체관람가']
20090599,뉴욕 아이 러브 유,103,미국,"코미디,드라마,멜로/로맨스","['나탈리 포트만', '레이첼 빌슨', '브래들리 쿠퍼', '블레이크 라이블리', '에단 호크', '샤이아 라보프', '존 허트', '크리스티나 리치', '헤이든 크리스텐슨', '올랜도 블룸']","['Natalie Portman', 'Rachel Bilson', 'Bradley Cooper', 'Blake Lively', 'Ethan Hawke', 'Shia LaBeouf', 'John Hurt', 'Christina Ricci', 'Hayden Christensen', 'Orlando Bloom']","['리프카 ', '몰리 ', '거스 ', '여자친구 ', '웨이터 ', '제이콥 ', '보이 ', '카밀 ', '벤', '데이빗 ']","['', '', '', '', '', '', '', '', '', '']","['20100354', '20100354']","['㈜케이디미디어', '㈜케이디미디어']","['KD Media', 'KD Media']","['배급사', '수입사']",['15세이상관람가']
20090920,올웨이스 비보이,81,한국,드라마,['오세빈'],['OH Se-bin'],['세븐 '],[''],"['20100371', '20101095']","['트랜샌댄스', '실버스푼']","['', '']","['제작사', '배급사']",['12세이상관람가']
