movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20185861,가슴큰누나들,81,한국,멜로/로맨스,[],[],[],[],"['20130184', '20130184']","['스마일컨텐츠', '스마일컨텐츠']","['', '']","['제작사', '배급사']",['청소년관람불가']
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,90,일본,애니메이션,"['마츠모토 리카', '오오타니 이쿠에', '임채헌', '이선호', '정미숙', '변영희', '김영선', '우정신', '오인성', '신용우', '정혜옥', '양석정', '유상우', '전태열', '윤승희', '이영란', '문남숙']","['Rica Matsumoto', 'Ikue Ootani', 'LIM Chae-heon', '', 'JUNG Mi-suk', '', 'KIM Young-sun', 'WOO Jeong-sin', '', 'SHIN Yong-woo', '', '', '', '', '', '', 'MOON Nam-sook']","['사토시 목소리', '피카츄 목소리', '다크라이 한국어 목소리', '지우 한국어 목소리', '빛나 한국어 목소리', '웅 한국어 목소리', '로이 한국어 목소리', '로사 한국어 목소리', '나옹 한국어 목소리', '토니오 한국어 목소리', '앨리스 한국어 목소리', '알베르트 남작 한국어 목소리', '화은 한국어 목소리', '승리 한국어 목소리', '앨리시아 한국어 목소리', '간호순 한국어 목소리', '마자용 한국어 목소리']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20142048', '20062956']","['(주)이수C&E', '(주)포켓몬코리아']","['', '']","['배급사', '수입사']",['전체관람가']
20185104,에너미라인 1994 대전투,102,영국,"액션,드라마",[],[],[],[],"['20063099', '20063099']","['(주)케이알씨지', '(주)케이알씨지']","['KRCG', 'KRCG']","['배급사', '수입사']",['청소년관람불가']
20164844,불한당: 나쁜 놈들의 세상,119,한국,"범죄,액션,드라마","['설경구', '임시완', '김희원', '전혜진', '이경영', '김성오', '허준호', '박정주', '박지호', '박형우', '임효은', '정기욱', '주현수', '윤준희', '최형욱', '이미소', '이시훈', '이영호', '이은비', '이인규', '이정우', '이정호', '김말구', '문지윤', '박수영', '양현민', '최준영', '김보미', '최병모']","['SUL Kyung-gu', 'IM Si-wan', 'KIM Hee-won', 'JEON Hye-jin', 'LEE Gyoung-young', 'KIM Sung-oh', 'HUH Joon-ho', '', '', '', '', '', '', 'YOON Jun-hee', '', 'LEE Mi-so', '', '', '', '', 'LEE Jung-woo', '', '', 'MOON Ji-yoon', 'PARK Su-young', 'YANG Hyun-min', 'CHOI Jun-young', 'KIM Bo-mi', 'CHOI Byung-mo']","['', '', '', '', '', '', '', '활주로 형사', 'CRPT', '재호패거리4', '러시안 클럽녀', 'CRPT', '근육질 재소자', '포수 조직원', '경찰 특공대', '오세안무역 광고 미녀3', '재호패거리3', '경찰 간부', '러시안 클럽녀', 'VIP룸 조직원', '오세안무역 조직원', '취장 재호 패거리', '바닷가 조직원', '영근', '장목사', '조사관 ', '용찬', '오세안무역 광고 미녀2', '최선장']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20110854', '20101558', '20110854', '20110854', '20100109', '20141399']","['씨제이이앤엠(주)', '(주)바른손', '씨제이이앤엠(주)', '씨제이이앤엠(주)', '씨제이엔터테인먼트', '(주)포스크리에이티브파티']","['CJ ENM Corp.', '', 'CJ ENM Corp.', 'CJ ENM Corp.', 'CJ Entertainment', '4th Creative Party Co., Ltd.']","['제작사', '제작사', '배급사', '제공', '해외세일즈사', '제작서비스-시각효과/특수효과']",['청소년관람불가']
20149264,춘희막이,96,한국,다큐멘터리,"['김춘희', '최막이']","['', '']","['', '']","['', '']","['20157248', '20141469', '20111582', '20141528', '20111582', '20157248']","['(주)하이하버픽쳐스', '메가박스중앙(주)플러스엠', '(주)엣나인필름', '산수벤처스', '(주)엣나인필름', '(주)하이하버픽쳐스']","['', 'Megabox Plus M', 'Atnine Film Co., Ltd.', '', 'Atnine Film Co., Ltd.', '']","['제작사', '배급사', '배급사', '제공', '공동제공', '공동제공']",['12세이상관람가']
20161568,마중: 커피숍 난동 수다 사건,94,한국,"코미디,드라마","['김준한', '류대식', '문웅기', '성기국', '송준영', '정재영', '차지훈', '이새롬', '이주영']","['KIM Jun-han', '', '', '', '', '', 'CHA Ji-hoon', '', '']","['준한', '대식', '웅기(마철)', '기국', '준영', '재영', '지훈', '테이크아웃 손님2', '테이크아웃 손님1']","['', '', '', '', '', '', '', '', '']","['20175861', '20153894', '20153894']","['자메이크 필름', '(주)콘텐츠윙', '(주)콘텐츠윙']","['Zamake Film', 'CONTENTSWING Co.,Ltd', 'CONTENTSWING Co.,Ltd']","['제작사', '제작사', '배급사']",['15세이상관람가']
20184162,라스트 맨: 지구를 마지막으로 본 남자,102,아르헨티나,"드라마,스릴러","['헤이든 크리스텐슨', '하비 케이틀']","['Hayden Christensen', 'Harvey Keitel']","['', '']","['', '']","['20111613', '20111613', '20121836']","['주식회사 풍경소리', '주식회사 풍경소리', '(주)버킷스튜디오']","['PoongKyung SoRi Inc.', 'PoongKyung SoRi Inc.', '']","['배급사', '수입사', '제공']",['15세이상관람가']
20177050,승풍파랑,101,홍콩,"코미디,드라마","['덩차오', '펑위옌', '조려영']","['Deng Chao', 'Eddie Peng', 'Liying Zhao']","['', '', '']","['', '', '']","['20100497', '20100497']","['(주)선익필름', '(주)선익필름']","['SUNICKFILM CO., LTD', 'SUNICKFILM CO., LTD']","['배급사', '수입사']",['15세이상관람가']
20184127,제로 아워 킬러,102,베네수엘라,액션,[],[],[],[],"['20063099', '20063099']","['(주)케이알씨지', '(주)케이알씨지']","['KRCG', 'KRCG']","['배급사', '수입사']",['15세이상관람가']
20179086,쥬라기 월드: 폴른 킹덤,127,미국,"액션,어드벤처,SF","['크리스 프랫', '브라이스 달라스 하워드', '제프 골드블럼', '저스티스 스미스', '토비 존스', 'B.D. 웡', '테드 레빈', '제임스 크롬웰', '라프 스팰', '제랄딘 채플린', '마이클 파파존', '카밀 레미에쉐브스키', '다니엘라 피네다', '로버트 엠스']","['Chris Pratt', 'Bryce Dallas Howard', 'Jeff Goldblum', 'Justice Smith', 'Toby Jones', 'B.D. Wong', 'Ted Levine', 'James Cromwell', 'Rafe Spall', 'Geraldine Chaplin', 'Michael Papajohn', 'Kamil Lemieszewski', 'Daniella Pineda', 'Robert Emms']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']","['20100603', '20100603']","['유니버설픽쳐스인터내셔널 코리아(유)', '유니버설픽쳐스인터내셔널 코리아(유)']","['Universal Pictures International Korea', 'Universal Pictures International Korea']","['배급사', '수입사']","['12세이상관람가', '12세이상관람가']"
