movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
19910320,격정,100,프랑스,멜로/로맨스,"['소피 마르소', '체키 카료']","['Sophie Marceau', 'Tcheky Karyo']","['', '']","['', '']",['20100115'],['신한영화(주)'],[''],['수입사'],['연소자관람불가']
19910295,귀호,86,홍콩,"액션,어드벤처,판타지","['호혜중', '여소룡']","['Sibelle Hu', 'Bruce Le']","['', '']","['', '']",['20100709'],['(주)유성필름'],[''],['수입사'],['중학생이상관람가']
19910312,광란의 시간,100,미국,"스릴러,드라마,범죄","['미키 루크', '미미 로저스', '안소니 홉킨스']","['Mickey Rourke', 'Mimi Rogers', 'Anthony Hopkins']","['', '', '']","['', '', '']","['20103087', '20100990']","['디노 드 로렌티스 프로덕션즈', '골드락필림']","['Dino De Laurentiis Productions', '']","['제작사', '수입사']",['고등학생이상관람가']
20130592,영춘권 무림 절대 고수,106,중국,"액션,코미디","['백정', '여소군']","['Bai Jing', 'Shaoqun Yu']","['', '']","['', '']","['20112175', '20112175']","['(주)소나무픽쳐스', '(주)소나무픽쳐스']","['Sonamu Pictures', 'Sonamu Pictures']","['배급사', '수입사']",['15세이상관람가']
20130422,러쉬라이트,96,미국,"액션,스릴러","['조쉬 헨더슨', '할리 웹', '보 브리지스', '에이단 퀸']","['Josh Henderson', 'Haley Webb', 'Beau Bridges', 'Aidan Quinn']","['빌', '사라', '보안관 로버트 브로든 주니어', '카메론 브로든']","['Billy Brody', 'Sarah', 'Sheriff Robert Brogden, Jr.', 'Cameron Brogden']","['20121879', '20121879']","['씨네그루(주)다우기술', '씨네그루(주)다우기술']","['Daou Tech Inc.', 'Daou Tech Inc.']","['배급사', '수입사']",['청소년관람불가']
20130743,탈옥의사 엔마,74,일본,"드라마,액션,기타","['스가 타카마사', '아베 마리']","['Takamasa Suga', 'Mari Abe']","['', '']","['', '']","['20114899', '20114899']","['(주)영진크리에이티브', '(주)영진크리에이티브']","['', '']","['배급사', '수입사']",['15세이상관람가']
20139842,슬립리스 나이트,102,프랑스,스릴러,"['토머 시슬리', '조이 스타르', '줄리앙 부아셀리에']","['Tomer Sisley', 'Joey Starr', 'Julien Boisselier']","['', '', '']","['', '', '']","['20112175', '20112175']","['(주)소나무픽쳐스', '(주)소나무픽쳐스']","['Sonamu Pictures', 'Sonamu Pictures']","['배급사', '수입사']",['청소년관람불가']
20130544,픽포켓,88,미국,"액션,코미디,범죄","['피터 파시넬리', '제이미 알렉산더', '마이클 매드슨']","['Peter Facinelli', 'Jaimie Alexander', 'Michael Madsen']","['바비', '', '']","['Bobby', 'Lucy', '']","['20100084', '20100084']","['㈜코리아스크린', '㈜코리아스크린']","['Korea Screen Inc.', 'Korea Screen Inc.']","['배급사', '수입사']",['15세이상관람가']
20130106,육체도박,73,일본,"스릴러,드라마",['한다 사사'],['Sasa Handa'],[''],[''],"['20137056', '20137056']","['(주)수키픽쳐스', '(주)수키픽쳐스']","['', '']","['배급사', '수입사']",['청소년관람불가']
20130105,여자감옥,74,일본,,['고하쿠 우타'],[''],[''],[''],"['20137056', '20137056']","['(주)수키픽쳐스', '(주)수키픽쳐스']","['', '']","['배급사', '수입사']",['청소년관람불가']
