movieCd,movieNm,showTm,nations,genre,actors,actors_en,cast,cast_en,companyCd,companyNm,companyNmEn,companyPartNm,watchGradeNm
20000196,키스드,79,캐나다,"멜로/로맨스,드라마","['몰리 파커', '피터 아우터브리지']","['Molly Parker', 'Peter Outerbridge']","['산드라', '매트']","['', '']",['20100668'],['세운정밀시네마'],[''],['수입사'],['18세관람가']
20000193,에어본,94,미국,액션,['스티브 구텐버그'],['Steve Guttenberg'],['빌 맥닐'],[''],['20060452'],['월트디즈니컴퍼니코리아(주)'],['The Walt Disney Company Korea'],['수입사'],['15세관람가']
20000426,써스펙트,92,미국,"액션,스릴러,미스터리","['윌리엄 볼드윈', '브리지트 바코']","['William Baldwin', 'Brigitte Bako']","['', '']","['', '']",['20100046'],['(주)맥스비젼엔터테인먼트'],[''],['수입사'],['18세관람가']
20000190,진심화,103,홍콩,"멜로/로맨스,드라마,코미디","['범문방', '하윤동']","['Fann Wong', 'Peter Ho']","['제인', '샘']","['', '']","['20103786', '20103625', '20100667']","['필름언리미티드', '레인트리 픽쳐스 ', '날개달린영화']","['Film Unlimited', 'RAINTREE PICTURES PTE LTD', '']","['제작사', '제작사', '수입사']",['12세관람가']
19930116,탈주자,94,미국,"멜로/로맨스,액션",['장 끌로드 반담'],['Jean-Claude Van Damme'],[''],[''],"['20101727', '20101727']","['콜럼비아트라이스타㈜', '콜럼비아트라이스타㈜']","['', '']","['제작사', '수입사']",['고등학생이상관람가']
20000189,처음 만나는 자유,127,미국,드라마,"['위노나 라이더', '안젤리나 졸리']","['Winona Ryder', 'Angelina Jolie']","['수잔나', '리사']","['', '']","['20101729', '20102772']","['콜럼비아트라이스타픽쳐스', '콜럼비아 트라이스타']","['', 'Columbia TriStar']","['제작사', '수입사']",['18세관람가']
20000188,아메리칸 드림,91,미국,드라마,"['맥 라이언', '트레이시 폴란', '키퍼 서덜랜드', '제이슨 세드릭']","['Meg Ryan', 'Tracy Pollan', 'Kiefer Sutherland', 'Jason Gedrick']","['베브', '메리', '데니', '행콕']","['', '', '', '']",['20100474'],['(주)태광영화사'],[''],['수입사'],['18세관람가']
20000186,배틀 필드,95,미국,"SF,액션","['존 트라볼타', '배리 펩퍼', '포레스트 휘테커']","['John Travolta', '', 'Forest Whitaker']","['테를', '조니 굿보이 타이러', '커']","['', '', '']","['20104383', '20100207']","['모건 크릭 프로덕션즈', '(주)씨네월드']","['Morgan Creek Productions', 'Cineworld']","['제작사', '수입사']",['15세관람가']
20000185,미션 임파서블 2,124,미국,"액션,스릴러","['톰 크루즈', '더그레이 스콧']","['Tom Cruise', 'Dougray Scott']","['에단 헌트', '숀 엠브로즈']","['', '']","['20104469', '20100649']","['파라마운트 픽쳐스', 'UIP코리아']","['Paramount Pictures', 'United International Pictures Korea']","['제작사', '수입사']",['15세관람가']
20000183,컵,93,부탄,"코미디,드라마","['오르그옌 토브기알', '네텐 초클링']","['Orgyen Tobgyal', 'Neten Chokling']","['게코', '로도']","['', '']",['20100017'],['씨앤피엔터테인먼트(주)'],['CNP Entertainment'],['수입사'],['전체관람가']
20000182,키핑 더 페이스,129,미국,"멜로/로맨스,코미디","['벤 스틸러', '에드워드 노튼', '제나 엘프만']","['Ben Stiller', 'Edward Norton', 'Jenna Elfman']","['제이크', '브라이언', '안나 라일리']","['', '', '']","['20101279', '20061729']","['스파이글라스 엔터테인먼트', '브에나비스타인터내셔널코리아']","['Spyglass Entertainment', '']","['제작사', '수입사']",['15세관람가']
20000180,프레디타,119,멕시코,"액션,드라마,범죄","['로지 페레즈', '하비에르 바르뎀']","['Rosie Perez', 'Javier Bardem']","['페르디타', '로미오']","['', '']",['20100204'],['신필름(주)'],"['Shin film Co., Ltd.']",['수입사'],['18세관람가']
20000179,플레이 투 더 본,124,미국,"코미디,드라마","['우디 해럴슨', '안토니오 반데라스']","['Woody Harrelson', 'Antonio Banderas']","['빈스', '시저']","['', '']",['20060452'],['월트디즈니컴퍼니코리아(주)'],['The Walt Disney Company Korea'],['수입사'],['18세관람가']
20000178,사이더 하우스,125,미국,드라마,"['토비 맥과이어', '샤를리즈 테론']","['Tobey Maguire', 'Charlize Theron']","['호머 웰스', '캔디 켄달']","['', '']","['20104369', '20100947']","['미라맥스 필름즈', '(주)태원엔터테인먼트']","['Miramax Films', 'TAEWON ENTERTAINMENT']","['제작사', '수입사']",['15세관람가']
