movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companyCd,companyNm
20182403,크레이지 리치 아시안,Crazy Rich Asians,2018,20181025,장편,개봉,미국,"멜로/로맨스,코미디",미국,멜로/로맨스,"('존 추', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180555,엘 마르,Between Sea and Land,2015,20181025,장편,개봉,콜롬비아,드라마,콜롬비아,드라마,"('마놀로 크루즈', '카를로스 델 카스티요', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183048,"작년 겨울, 너와 이별","Last winter, we parted ",2018,20181018,장편,개봉,일본,"스릴러,드라마",일본,스릴러,"('타키모토 토모유키', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182822,바람난 아내들,,2018,20181023,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('장두만', ' ', ' ', ' ')","('20173401', ' ', ' ')","('(주)케이피에이기획', ' ', ' ')"
20183218,바람난 가족:엄마의 남자,Naiennno Otoko,2016,20181023,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('후지모토 죠지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183139,남편 말고 다른 남자-하고 또 하고,Jyoujinojyuku,2016,20181023,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('후지모토 죠지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183219,나의 새엄마,Giboyuoukyou,2017,20181023,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('키무라 히로유키', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180721,마라,Mara,2018,20181018,장편,개봉,미국,"공포(호러),스릴러",미국,공포(호러),"('클라이브 톤지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183214,음란 병동:젖어버린 침대,Ike Ike Sukebeojiisan,2017,20181022,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('밤비노 푸린', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183216,보험 레이디:실적을 위해서라면,Urakeieinohokenkannyuu,2016,20181022,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('후지모토 죠지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183215,바람난 가족:남편은 출장중,Osowaretayome,2017,20181022,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('무라야마 쿄스케', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183217,그녀의 손기술:발기부전 치료 해드려요,Btukihuzenn,2016,20181022,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,"('후지모토 죠지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183008,순진한 며느리,Daughter-in-law and mother-in-law,2017,20181018,장편,개봉,일본,드라마,일본,드라마,"('츠지 코우지', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20183023,노리개 아줌마,Torture has been married woman,2017,20181018,장편,개봉,일본,드라마,일본,드라마,"('긴다이치 코고로', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20189993,츠바사의 알몸 연극,Wandering swallowtail butterfly trout,2017,20181019,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('사카키 히데오', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20182445,착한 엄마 2,,2017,20181019,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,"('곽영근', ' ', ' ', ' ')","('20154628', '20160321', ' ')","('(주)영화사 사계절', '대호필름', ' ')"
20180009,여친과 여친엄마,Too Sexy Girlfriend's Mother,2017,20181019,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('모리 신이치', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180008,속옷벗은 미용사,Can I Fuck Dirty Beautician ?,2017,20181019,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('오우치 아이리', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180010,미니스커트의 영어선생님,I will tie up the secret of a female teacher,2017,20181019,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('요시유키 유미', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180011,거유 여관의 온천욕탕,Boyne's Old Milf Grand Banquet!,2017,20181019,장편,개봉,일본,성인물(에로),일본,성인물(에로),"('이오리 료코', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20180671,호밀밭의 반항아,Rebel in the Rye,2017,20181018,장편,개봉,미국,드라마,미국,드라마,"('대니 스트롱', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181163,핫 썸머 나이츠,Hot Summer Nights,2018,20181018,장편,개봉,미국,드라마,미국,드라마,"('엘리야 바이넘', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20187521,펭귄 하이웨이,Penguin Highway,2018,20181018,장편,개봉,일본,"애니메이션,어드벤처,판타지",일본,애니메이션,"('이시다 히로야스', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20186321,퍼스트맨,First Man,2018,20181018,장편,개봉,미국,"SF,드라마",미국,SF,"('데이미언 셔젤', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
20181082,인피니티 포스 : 독수리오형제 최후의 심판,Infini-T Force Movie,2018,20181018,장편,개봉,일본,애니메이션,일본,애니메이션,"('마츠모토 준', ' ', ' ', ' ')","(' ', ' ', ' ')","(' ', ' ', ' ')"
